batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes
2,formal_hard_longest_valid_parenthesis_without,662fa29177726b1c13ea12c5,hard_longest_valid_parenthesis,0.1,0.1,0,0,0,,0.35,0.4117647058823529,,,
1,formal_medium_find_winner_with,5c5b31c415f6c30001de2df5,medium_find_winner,0,1,0,1,1,,0.3076923076923077,0.3076923076923077,,,
1,formal_medium_find_winner_with,5c5dcac26ad0f00001cc1501,medium_find_winner,0.1,1,0,0.1,1,,0.9285714285714286,1,,,
1,formal_medium_find_winner_with,610ea9a7e88bfe6cab826680,medium_find_winner,0.1,0.1,0,0,0,YES,0.3333333333333333,0.3076923076923077,,,"{""2"":[1,67],""3"":[2,86],""4"":[1,13]}"
1,formal_medium_find_winner_with,6168bf1eabf324700728494b,medium_find_winner,0.1,0.1,0.1,0,0,,0.09090909090909091,0.07692307692307693,,,
1,formal_medium_find_winner_with,61712d83af60f4d0702f606f,medium_find_winner,0.1,1,0,0,1,,1,1,,,
1,formal_medium_find_winner_with,64eb650fbf222d6e2ec9cff9,medium_find_winner,0.1,1,0,0,1,,1,1,,,
2,formal_medium_find_winner_with,5f75cb3479b194268b1f46d2,medium_find_winner,0.1,0,0,0,0,,0.16666666666666666,0.07692307692307693,,,
2,formal_medium_find_winner_with,60a6bc4f4cb533e7e0867aab,medium_find_winner,0,0,0,0,-1,,1,1,,,
2,formal_medium_find_winner_with,60cccc13043045c945c7e957,medium_find_winner,0.1,0.1,0.1,0,0,,0,0,,,
2,formal_medium_find_winner_with,615e09b45124daba0eeb3e6b,medium_find_winner,0.1,1,0,0,1,,0.9230769230769231,0.9230769230769231,,,
2,formal_medium_find_winner_with,66338ecbf38c676d9d783a6f,medium_find_winner,0,1,0,0,1,,1,1,,,
1,formal_medium_find_winner_without,5a60a51863394a0001552447,medium_find_winner,0.1,1,0.1,0,1,,0.4,0.3076923076923077,,,"{""3"":[1,2]}"
1,formal_medium_find_winner_without,5e1f86090cc973000b7b8ee9,medium_find_winner,1,1,1,1,1,YES,0.2222222222222222,0.15384615384615385,,,"{""3"":[4,7],""4"":[1,1],""5"":[2,1]}"
1,formal_medium_find_winner_without,607728dc0b4f8590b94ae57c,medium_find_winner,0.1,1,0,0,1,,1,1,,,
1,formal_medium_find_winner_without,65cf6d8a589a67afcab54e6f,medium_find_winner,0.1,1,0,0,1,YES,1,1,,,"{""3"":[1,9]}"
1,formal_medium_find_winner_without,65fb4091fe89197d0e19987c,medium_find_winner,1,1,0,0,1,YES,0.42857142857142855,0.23076923076923078,,,"{""2"":[2,11]}"
2,formal_medium_find_winner_without,5ec4630ddd0a4816896af35d,medium_find_winner,0.1,0.1,0,0,0,,0.4,0.46153846153846156,,,
2,formal_medium_find_winner_without,60194761aa17fd000a67e932,medium_find_winner,0.1,0.1,0.1,0,0,,0,0,,,
2,formal_medium_find_winner_without,61092f01d8c20f8e9e784549,medium_find_winner,0.1,0.1,0,0,0,,0.2,0.23076923076923078,,,
2,formal_medium_find_winner_without,615a14687d8069031a680e9b,medium_find_winner,0,1,0,0,1,,1,1,,,
2,formal_medium_find_winner_without,616acad7a0da3227e607cabd,medium_find_winner,0.1,0.1,0,0,0,,0,0,,,
1,formal_medium_validate_BST_with,5db9a74d4a8687000b9ef833,medium_validate_BST,1,0,0.1,0.1,1,YES,0.16666666666666666,0.06666666666666667,0.6428571428571429,0.5625,"{""3"":[2,6]}"
1,formal_medium_validate_BST_with,5fdcad62eed16d2504b27f5a,medium_validate_BST,0,0.1,0,0,0,,0.6666666666666666,0.6666666666666666,0.9411764705882353,1,"{""3"":[1,2]}"
1,formal_medium_validate_BST_with,61265fa763bacaa9ef2ab383,medium_validate_BST,1,0,0.1,0,1,YES,0.2,0.2,0,0,"{""3"":[2,7]}"
1,formal_medium_validate_BST_with,64699c39810132db3b4250b1,medium_validate_BST,0.1,0,0.1,0,0,,0.2857142857142857,0.13333333333333333,,,
1,formal_medium_validate_BST_with,65a2a4643cc27e9702199c43,medium_validate_BST,0.1,0,0.1,0,0,,0,0,,,
2,formal_medium_validate_BST_with,6011c91e496f2f16d61402e7,medium_validate_BST,1,1,1,1,1,,0.7,0.4666666666666667,1,1,
2,formal_medium_validate_BST_with,615b38fbee37c31346d21b1c,medium_validate_BST,0,0.1,0,0,0,,0.8125,0.8666666666666667,1,1,
2,formal_medium_validate_BST_with,6529416fca661cf7ee143821,medium_validate_BST,0.1,1,0,0,1,,1,1,1,1,
2,formal_medium_validate_BST_with,66171378a0d58cc04011f002,medium_validate_BST,1,1,0,0,1,YES,0.09302325581395349,0.26666666666666666,0.11864406779661017,0.4375,"{""3"":[2,5]}"
2,formal_medium_validate_BST_with,662f826869bc43d3dbbc8d9f,medium_validate_BST,0.1,1,0,0,1,,1,1,1,1,
1,formal_medium_validate_BST_without,5e43f3ab6c137d000b704bd2,medium_validate_BST,0.1,1,0,1,1,YES,1,1,1,1,"{""4"":[1,10]}"
1,formal_medium_validate_BST_without,60f514c8104b6a16e44f77a9,medium_validate_BST,0,1,0,0,1,,0.42857142857142855,0.4,1,1,
1,formal_medium_validate_BST_without,6154776b07de67ce15599bd5,medium_validate_BST,0.1,0,0,0,0,,0.2,0.06666666666666667,0,0,
1,formal_medium_validate_BST_without,650b5155a7df63a5df87a7ed,medium_validate_BST,1,1,0,0,1,,1,1,1,1,
1,formal_medium_validate_BST_without,660824b3f06831a1db520ff0,medium_validate_BST,0.1,0,0,0.1,0,YES,0,0,,,"{""3"":[2,6]}"
2,formal_medium_validate_BST_without,6094ce8d0764c24f352d1fe5,medium_validate_BST,0,0.1,0,0.1,0,,0.5333333333333333,0.5333333333333333,1,1,
2,formal_medium_validate_BST_without,610ba8fced24e6ce1c89c68c,medium_validate_BST,0.1,0,0,0,0,,0.1,0.06666666666666667,0,0,
2,formal_medium_validate_BST_without,614d8fbb82f1d17aa02851fa,medium_validate_BST,0.1,0.1,0,0,0,,0.2222222222222222,0.13333333333333333,0,0,
2,formal_medium_validate_BST_without,65b9019d4b66bcd86a2b6ec5,medium_validate_BST,0.1,1,0,0,1,,1,1,1,1,
2,formal_medium_validate_BST_without,65c420c15931487d511e71e4,medium_validate_BST,1,1,0,0,1,YES,0.13043478260869565,0.2,0.45,0.5625,"{""3"":[2,3]}"
