Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
6617a5b01abe7d086651c2c2,60fa8b48cbeec7cf62317c21,RETURNED,Not Applicable,2024-04-11T08:56:45.872000Z,,,,,,236,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
6617b128c9af32b72f125ef5,614d9ea7c87980229c834d21,RETURNED,Not Applicable,2024-04-11T09:45:17.359000Z,,,,,,716,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,online-easy-ransom-notes-without
6637e9306fbc7854a4597508,60ce3a64dc89ad902dcd3e02,APPROVED,Not Applicable,2024-05-05T20:17:43.273000Z,2024-05-05T20:44:38.996000Z,2024-05-14T09:27:00.781000Z,2024-05-05T20:46:36.780386Z,1616.0,C8MRP57T,197,Yes,"C#, Javascript, CSS, HTML, PHP",29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED,English,online-easy_ransom_notes-with-b2
6637e96af107e381709aa82d,5e91128ddf10df4440f6243f,APPROVED,Not Applicable,2024-05-05T20:17:46.437000Z,2024-05-05T20:30:59.782000Z,2024-05-14T09:27:01.062000Z,2024-05-05T20:31:00.512225Z,794.0,C8MRP57T,671,Yes,"C#, C and C++, Java, Javascript, HTML, Kotlin, PHP, Python",37,Male,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED,"Italian, English",online-easy_ransom_notes-with-b2
6637e9b76c3dfc85de2cf32c,610425405cd96682f2d3ff07,APPROVED,Not Applicable,2024-05-05T20:19:59.784000Z,2024-05-05T20:36:41.377000Z,2024-05-14T09:27:01.331000Z,2024-05-05T20:37:29.987216Z,1002.0,C8MRP57T,44,Yes,"Java, Javascript, Python",22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),English,online-easy_ransom_notes-with-b2
6637eaf9451a5cd260b29763,60db8f99cfcb1b050dbc66b5,APPROVED,Not Applicable,2024-05-05T20:24:36.847000Z,2024-05-05T20:41:34.932000Z,2024-05-14T09:27:01.603000Z,2024-05-05T20:41:35.889540Z,1019.0,C8MRP57T,180,Yes,"Java, HTML, Javascript",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,"Portuguese, English",online-easy_ransom_notes-with-b2
6637ec2031e144042603bf33,65b011d3c75e0c8536526b93,APPROVED,Not Applicable,2024-05-05T20:29:25.831000Z,2024-05-05T20:53:33.062000Z,2024-05-14T09:27:01.845000Z,2024-05-05T20:56:59.912317Z,1448.0,C8MRP57T,43,Yes,"C and C++, CSS, Java, Javascript, HTML, Python, SQL, TypeScript",26,Male,Asian,India,Canada,India,Punjabi,Yes,Part-Time,English,online-easy_ransom_notes-with-b2
663bd39a65bae793c4fdfeb8,6529416fca661cf7ee143821,APPROVED,Not Applicable,2024-05-08T19:33:54.782000Z,2024-05-08T19:42:36.380000Z,2024-05-14T09:27:02.113000Z,2024-05-08T19:44:25.607695Z,522.0,C8MRP57T,90,Yes,"C#, Java, C and C++, CSS, HTML, Javascript, Python, Matlab, PHP, SQL",29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,"Afrikaans, English",online-easy_ransom_notes-with-b2
663bd3efa3f206cb92c89d34,6159e83b6407a6d5345d3b99,APPROVED,Not Applicable,2024-05-08T19:35:21.489000Z,2024-05-08T19:55:30.976000Z,2024-05-14T09:27:02.378000Z,2024-05-08T19:56:33.676695Z,1210.0,C8MRP57T,119,Yes,"Java, Javascript, HTML, TypeScript",26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,"English, Other",online-easy_ransom_notes-with-b2
663bd41a6a5c3ff01e695328,65523123662559399b1aa48a,APPROVED,Not Applicable,2024-05-08T19:36:01.200000Z,2024-05-08T19:52:26.404000Z,2024-05-14T09:27:02.667000Z,2024-05-08T19:52:27.090069Z,986.0,C8MRP57T,52,Yes,"Javascript, HTML, Matlab, Python, SQL",19,Female,Other,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),English,online-easy_ransom_notes-with-b2
