Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
6637f13f44bcdcef522aa3fa,5c093a3f600aff0001d7002c,APPROVED,Not Applicable,2024-05-05T20:51:22.876000Z,2024-05-05T21:07:58.727000Z,2024-05-14T09:29:19.004000Z,2024-05-05T21:11:43.708666Z,996.0,C8MRP57T,1191,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, SQL",45,Male,Asian,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED,English,online-easy_ransom_notes-without-b2
663bd3bb3bb1df6feb1c0b74,65c64b9b090c48be1380151a,APPROVED,Not Applicable,2024-05-08T19:34:39.622000Z,2024-05-08T19:56:33.614000Z,2024-05-14T09:29:19.186000Z,2024-05-08T19:56:57.930651Z,1314.0,C8MRP57T,59,Yes,"Javascript, HTML, CSS",28,Female,Black,Nigeria,Portugal,Nigeria,English,No,Unemployed (and job seeking),English,online-easy_ransom_notes-without-b2
663bd3c0afed842f4b0121d9,6114ba817968537bd89ef3c6,APPROVED,Not Applicable,2024-05-08T19:34:24.550000Z,2024-05-08T19:49:49.456000Z,2024-05-14T09:29:19.397000Z,2024-05-08T19:49:49.999126Z,925.0,C8MRP57T,495,Yes,"HTML, Javascript",20,Male,White,Austria,Austria,Germany,German,Yes,Part-Time,"English, German",online-easy_ransom_notes-without-b2
663bd3ccd4952863dd397e03,661747a10840d7553533cda1,APPROVED,Not Applicable,2024-05-08T19:39:17.190000Z,2024-05-08T19:49:07.660000Z,2024-05-14T09:29:19.761000Z,2024-05-08T19:49:08.164437Z,591.0,C8MRP57T,33,Yes,"C and C++, CSS, Javascript, HTML, Python, SQL",21,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time,English,online-easy_ransom_notes-without-b2
663bd63e04383a5213e5b0f6,6577b990de34621ce896bc7d,APPROVED,Not Applicable,2024-05-08T19:45:35.624000Z,2024-05-08T20:09:48.905000Z,2024-05-14T09:29:19.946000Z,2024-05-08T20:09:50.594309Z,1454.0,C8MRP57T,9,Yes,"Javascript, HTML, PHP, SQL, TypeScript, C and C++, CSS",25,Male,White,Algeria,France,Algeria,English,Yes,Other,"English, French, Arabic",online-easy_ransom_notes-without-b2
6644c40e56aebdd17fc44ce5,5c2c8746d8217e00019a1345,APPROVED,Not Applicable,2024-05-15T14:17:55.589000Z,2024-05-15T14:31:10.024000Z,2024-05-16T01:42:32.973000Z,2024-05-15T14:31:10.734032Z,795.0,C8MRP57T,1079,Yes,"HTML, Javascript, PHP, Python, SQL",48,Male,White,France,France,France,French,No,Full-Time,"French, English",online-easy_ransom_notes-without-b3
6644c5b742c349f393cccfdc,5f8739ae0483431242e11d41,APPROVED,Not Applicable,2024-05-15T14:24:55.365000Z,2024-05-15T14:37:33.682000Z,2024-05-16T01:42:33.422000Z,2024-05-15T14:39:27.398590Z,759.0,C8MRP57T,462,Yes,"Java, HTML, Javascript, R, Python, SQL, PHP, Matlab, CSS, C and C++",27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,"Portuguese, English",online-easy_ransom_notes-without-b3
6644c63031d16c0057e1981d,611e125063d1a52330225838,APPROVED,Not Applicable,2024-05-15T14:26:56.302000Z,2024-05-15T14:34:27.979000Z,2024-05-16T01:42:34.059000Z,2024-05-15T14:34:28.412841Z,452.0,C8MRP57T,122,Yes,Javascript,24,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,English,online-easy_ransom_notes-without-b3
6644c6ae2bea44e1e3281faf,6122bbb8be3dd11d70df5fb1,APPROVED,Not Applicable,2024-05-15T14:29:02.144000Z,2024-05-15T14:46:23.784000Z,2024-05-16T01:42:34.612000Z,2024-05-15T14:46:24.730533Z,1042.0,C8MRP57T,248,Yes,"Javascript, Go, C#, Python, TypeScript, HTML, Java, CSS, C and C++, SQL",21,Male,White,Israel,Israel,Israel,Hebrew,DATA_EXPIRED,DATA_EXPIRED,"Hebrew, English",online-easy_ransom_notes-without-b3
6644c7e36b056d9cb57f08c4,5faa3448cb538f3064fd2860,APPROVED,Not Applicable,2024-05-15T14:34:11.688000Z,2024-05-15T15:12:44.339000Z,2024-05-16T01:42:34.886000Z,2024-05-15T15:12:56.165079Z,2313.0,C8MRP57T,676,Yes,"Javascript, HTML, Matlab, Python, CSS, Java, C and C++, C#",22,Male,White,Ukraine,Israel,Israel,Ukrainian,DATA_EXPIRED,DATA_EXPIRED,"English, German, Hebrew",online-easy_ransom_notes-without-b3
